NAME	CLUSTER	SUB-CLUSTER
LS-15014_S68_E1-50	Vip	Vip Mybpc1_1
LS-15014_S69_E1-50	Vip Sncg	Vip Sncg_2
LS-15014_S70_E1-50	Vip	Vip Chat_3
LS-15014_S71_E1-50	Vip	Vip Mybpc1_1
LS-15014_S72_E1-50	Vip	Vip Mybpc1_1
LS-15014_S73_E1-50	Vip	Vip Mybpc1_1
LS-15014_S74_E1-50	Vip	Vip Mybpc1_1
LS-15014_S75_E1-50	Vip	Vip Mybpc1_1
LS-15014_S76_E1-50	Vip	Vip Lect1
LS-15014_S77_E1-50	Vip 	Vip Cd34_1
LS-15014_S78_E1-50	Vip	Vip Mybpc1_1
LS-15014_S79_E1-50	Vip	Vip Chat_3
LS-15014_S80_E1-50	Vip	Vip Chat_1
LS-15014_S81_E1-50	Vip	Vip Chat_2
LS-15014_S82_E1-50	Vip	Vip Prss12_2
LS-15014_S83_E1-50	Vip	Vip Chat_4
LS-15014_S84_E1-50	Vip	Vip Mybpc1_1
LS-15014_S85_E1-50	Vip	Vip Prss12_2
LS-15014_S86_E1-50	Vip	Vip Chat_1
LS-15014_S87_E1-50	Vip	Vip Mybpc1_1
LS-15014_S88_E1-50	Vip	Vip Sfrp2 1
LS-15017_S25_E1-50	L2-3	L2/3 ALM Cdh13
LS-15017_S26_E1-50	L2-3	L2/3 ALM Cdh13
LS-15017_S27_E1-50	L2-3	L2/3 ALM Cdh13
LS-15017_S28_E1-50	Lamp5	Lamp5 Nxph1_2
LS-15017_S29_E1-50	L2-3	L2/3 ALM Cdh13
LS-15017_S30_E1-50	Lamp5	Lamp5 Nxph1_1
LS-15017_S31_E1-50	Lamp5	Lamp5 Nxph1_2
LS-15017_S32_E1-50	Lamp5	Lamp5 Nxph1_2
LS-15017_S34_E1-50	L2-3	L2/3 ALM Agmat
LS-15017_S35_E1-50	Lamp5	Lamp5 Nxph1_2
LS-15017_S36_E1-50	Sst	Sst Mrap2_2
LS-15017_S37_E1-50	Sst	Sst Mrap2_2
LS-15017_S38_E1-50	Lamp5	Lamp5 Nxph1_1
LS-15017_S39_E1-50	L5a	L5 ALM Pld5_2
LS-15017_S40_E1-50	L2-3	L2/3 ALM Cdh13
LS-15017_S41_E1-50	L5a	L5 ALM Pld5_2
LS-15017_S42_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S43_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S44_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S45_E1-50	L5a	L5 ALM Pld5_2
LS-15017_S46_E1-50	L5a	L5 ALM Arhgap25_2
LS-15017_S47_E1-50	L5a	L5 ALM Pld5_2
LS-15017_S48_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S49_E1-50	L5_Tshz2	L5 ALM Hapln1
LS-15017_S50_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S51_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S52_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S53_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S54_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S55_E1-50	L5a	L5 ALM Pld5_2
LS-15017_S56_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S57_E1-50	L5a	L5 ALM Pld5_2
LS-15017_S58_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S59_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S60_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S61_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S62_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S63_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S64_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S65_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S66_E1-50	L5a	L5 ALM Pld5_2
LS-15017_S67_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S68_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S69_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S70_E1-50	L5a	L5 ALM Pld5_1
LS-15017_S71_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S72_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S73_E1-50	L5a	L5 ALM Arhgap25_2
LS-15017_S74_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S75_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S76_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S77_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S78_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S79_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S80_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S81_E1-50	L5a	L5 ALM Aldh3b1_3
LS-15017_S82_E1-50	L5a	L5 ALM Arhgap25_1
LS-15017_S83_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S84_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S85_E1-50	L5a	L5 ALM Arhgap25_1
LS-15017_S86_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S87_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S88_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S89_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S90_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S91_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S92_E1-50	L5a	L5 ALM Arhgap25_1
LS-15017_S93_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15017_S94_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S95_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15017_S96_E1-50	L5a	L5 ALM Pld5_2
LS-15018_S17_E1-50	L2-3	L2/3 ALM Agmat
LS-15018_S18_E1-50	L5a	L5 ALM Pld5_2
LS-15018_S19_E1-50	L2-3	L2/3 ALM Agmat
LS-15018_S20_E1-50	L2-3	L2/3 ALM Cdh13
LS-15018_S21_E1-50	L2-3	L2/3 ALM Agmat
LS-15018_S22_E1-50	L5a	L5 ALM Pld5_2
LS-15018_S23_E1-50	L2-3	L2/3 ALM Agmat
LS-15018_S24_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S33_E1-50	L2-3	L2/3 ALM Cdh13
LS-15018_S34_E1-50	L5a	L5 ALM Pld5_2
LS-15018_S35_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S36_E1-50	L2-3	L2/3 ALM Agmat
LS-15018_S37_E1-50	L5a	L5 ALM Pld5_2
LS-15018_S38_E1-50	Lamp5	Lamp5 Nxph1_1
LS-15018_S39_E1-50	L5a	L5 ALM Pld5_2
LS-15018_S40_E1-50	L2-3	L2/3 ALM Cdh13
LS-15018_S41_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S42_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S43_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S44_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S45_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S46_E1-50	L5a	L5 ALM Pld5_2
LS-15018_S47_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S48_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S49_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S50_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S51_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S52_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S53_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S54_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S55_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S56_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S57_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S58_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S59_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S60_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S61_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S62_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S63_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S64_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S65_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S66_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S67_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S68_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S69_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S70_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S71_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S72_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S73_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S74_E1-50	L5a	L5 ALM Arhgap25_1
LS-15018_S75_E1-50	L5a	L5 ALM Aldh3b1_3
LS-15018_S76_E1-50	L5a	L5 ALM Pld5_1
LS-15018_S77_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S78_E1-50	L5a	L5 ALM Aldh3b1_1
